X, Y, t
"0,00E+00","2,97E-03","1,50E-03"
"3,33E-02","1,01E-01","4,66E-02"
"6,67E-02","1,96E-01","1,24E-01"
"1,00E-01","3,08E-01","2,29E-01"
"1,33E-01","4,42E-01","3,46E-01"
"1,67E-01","5,60E-01","4,42E-01"
"2,00E-01","6,70E-01","5,28E-01"
"2,33E-01","8,15E-01","6,24E-01"
"2,67E-01","9,22E-01","6,87E-01"
"3,00E-01","1,05E+00","7,42E-01"
"3,33E-01","1,19E+00","7,87E-01"
"3,67E-01","1,30E+00","8,29E-01"
"4,00E-01","1,42E+00","8,56E-01"
"4,33E-01","1,54E+00","8,57E-01"
"4,67E-01","1,68E+00","8,55E-01"
"5,00E-01","1,79E+00","8,46E-01"
"5,33E-01","1,92E+00","8,14E-01"
"5,67E-01","2,03E+00","7,79E-01"
"6,00E-01","2,14E+00","7,44E-01"
"6,33E-01","2,26E+00","6,97E-01"
"6,67E-01","2,38E+00","6,20E-01"
"7,00E-01","2,50E+00","5,55E-01"
"7,33E-01","2,64E+00","4,67E-01"
"7,67E-01","2,74E+00","3,72E-01"
"8,00E-01","2,88E+00","2,60E-01"
"8,33E-01","2,98E+00","1,47E-01"
"8,67E-01","3,09E+00","1,69E-02"
